ID	Title
482	Stealth
483	Crackerjack
484	Strangers with Candy
485	I Hired a Contract Killer
486	Side Out
487	Tank on the Moon
488	Wings in the Dark
489	Amityville: A New Generation
490	Dead Husbands
491	For Whom the Bell Tolls
492	Angel in My Pocket
493	Ju-on
494	Hellraiser
495	Maryam
496	Wildflowers
497	La boum
498	All Together
499	Bo ming dan dao duo ming qiang
500	Loup
501	Astérix aux jeux olympiques
502	Jing wu feng yun: Chen Zhen
503	Bill Bailey: Qualmpeddler
504	Sphere
505	Exodus
506	Lovelace
507	Kabocha
508	Luck by Chance
509	Firstborn
510	Bedtime Story
511	Cain and Mabel
512	Mondo Hollywood
513	The Call of the Wild
514	Dèmoni
515	Butterfly
516	Nueve reinas
517	Glasses
518	La fin du monde
519	Heathers
520	Vízió
521	Abbott and Costello in the Foreign Legion
522	Edwin Boyd
523	Villa Amalia
524	Who's the Caboose?
525	Lad: A Dog
526	J'aime regarder les filles
527	24
528	Teen Titans: The Judas Contract
529	Masques
530	Band Camp
531	Sahara
532	Bionicle 3: Web of Shadows
533	"Harry, un ami qui vous veut du bien"
534	Unruhige Töchter
535	Black Rain
536	Tank
537	En duva satt på en gren och funderade på tillvaron
538	Tesis
539	Never Back Down
540	Bure baruta
541	Confessions of a Superhero
542	Killjoy
543	The Baytown Outlaws
544	Be Kind Rewind
545	Andrew Dice Clay: Indestructible
546	"Girl, Positive"
547	Burke and Hare
548	A Very British Sex Scandal
549	Giulietta degli spiriti
550	Women Aren't Funny
551	Look Who's Talking
552	The Amazing Spider-Man 2
553	Before I Self Destruct
554	Russian Roulette
555	Cidade Baixa
556	1408
557	None But the Lonely Heart
558	Bullies
559	Chernobyl Diaries
560	Nebo iznad krajolika
561	The Great Gatsby
562	MC5*: A True Testimonial
563	Happy Family
564	Rejsen til Saturn
565	Ginga tetsudô Three-Nine
566	Shin seiki Evangelion Gekijô-ban: Shito shinsei
567	Some Guy Who Kills People
568	Cries and Whispers
569	My Super Ex-Girlfriend
570	Brighton Rock
571	Prête-moi ta main
572	Il conto è chiuso
573	Hot Coffee
574	Luminarias
575	Happiness
576	Christine
577	Tiempo de morir
578	Places in the Heart
579	Skyline
580	Le temps de l'aventure
581	Beauty & the Briefcase
582	Lady Bird
583	Shadow Kill
584	No Strings Attached
585	Spanglish
586	Things to Come
587	Harum Scarum
588	Sydney
589	The Plan
590	Seven
591	The D.I.
592	Freddy's Dead: The Final Nightmare
593	Farscape: The Peacekeeper Wars
594	La vie est belle
595	Bliss
596	Central do Brasil
597	Gojô reisenki: Gojoe
598	Shoot on Sight
599	Batch '81
600	Stingray Sam
601	Everybody's Acting
602	Nobody's Watching
603	Innocent Lies
604	Tuck Everlasting
605	"When You Comin' Back, Red Ryder?"
606	Charm School
607	The Blues Brothers
608	Little Boy
609	Ricochet
610	Better Living Through Chemistry
611	They Came Together
612	Fresh Horses
613	Battle for Brooklyn
614	Nick and Norah's Infinite Playlist
615	Absolute Aggression
616	Danton
617	1991: The Year Punk Broke
618	King Leopold's Ghost
619	D'Est
620	Watermark
621	Homicidal
622	Matinée
623	Horrible Bosses 2
624	Madman
625	Diary of a Wimpy Kid: Dog Days
626	Mary
627	Rockabilly Vampire
628	Back to the Beach
629	Sin-ui hansu
630	Hollow Triumph
631	Porky's
632	"Take Her, She's Mine"
633	B+ jing taam
634	The Secret of Moonacre
635	Scarface
636	Still Crazy
637	Peiru Kokun
638	Mekagojira no gyakushu
639	Quartet
640	Electronic Labyrinth THX 1138 4EB
641	Liebe ist kälter als der Tod
642	Bir Zamanlar Anadolu'da
643	The League of Extraordinary Gentlemen
644	Punk's Not Dead
645	Tom Horn
646	Doomsday
647	Fast Food Nation
648	"America, America"
649	Efter brylluppet
650	Late Night Shopping
651	One Hour with You
652	Baxter
653	With a Song in My Heart
654	Muppets Most Wanted
655	Authors Anonymous
656	Ju-on 2
657	Summer Rental
658	The Forgotten Woman
659	Abre los ojos
660	King's Faith
661	Girls on Top
662	We the Party
663	Firaaq
664	Little Nikita
665	Judgement Day
666	Claire Dolan
667	Revolutionary Road
668	The Assassination of Richard Nixon
669	Chapter 27
670	ThanksKilling 3
671	Lucky Number Slevin
672	Kurteist fólk
673	And Everything Is Going Fine
674	I Know Where I'm Going!
675	Elephant Boy
676	Brother's Keeper
677	Casablanca Express
678	Joe Somebody
679	Top Gun
680	Mongol
681	Johnny Handsome
682	Permanent Record
683	Good Boy!
684	Three Kings
685	Lili
686	My Boy
687	Hævnens Nat
688	The Expendables 3
689	Badman's Territory
690	More Than Honey
691	Super High Me
692	Winterschläfer
693	Prodigal Sons
694	Masters of the Universe
695	Rudolph the Red-Nosed Reindeer
696	I Am
697	Emo Philips Live
698	Insurgent
699	Batalla en el cielo
700	Madam Satan
701	The Final Girls
702	Ghosts of Cité Soleil
703	Kaksparsh
704	Birthday Girl
705	The Wild
706	Maniac Cop
707	Anna Lucasta
708	Hide in Plain Sight
709	Patti Smith: Dream of Life
710	Il mostro
711	Broadway Idiot
712	Don't Look Now
713	Constantine
714	Dersu Uzala
715	I Smile Back
716	"Dude, Where's My Car?"
717	54
718	Indiscreet
719	Wrestling with Alligators
720	Sommersby
721	Prisoner of Paradise
722	Pretty Cool
723	Air America
724	House of Strangers
725	Takeshis'
726	Syrup
727	Storage 24
728	The Words
729	Saving Lincoln
730	The Hellions
731	My One and Only
732	Better Living Through Circuitry
733	Framom främsta linjen
734	Das Mädchen vom Moorhof
735	Golem
736	Hide and Seek
737	Night of the Big Heat
738	Orgy of the Dead
739	Jude the Obscure
740	Sin City: A Dame to Kill For
741	Life After Tomorrow
742	Holiday in Handcuffs
743	Chinese Take-Out
744	Les Misérables
745	No Way to Treat a Lady
746	Swing Vote
747	Invasion of the Bee Girls
748	My Father and the Man in Black
749	Friday the 13th Part VIII: Jason Takes Manhattan
750	My Fair Lady
751	Blues Harp
752	Light of Day
753	Violet & Daisy
754	Emmanuel's Gift
755	Broadway Rhythm
756	Save the Last Dance 2
757	Death Wish
758	L'inconnu dans la maison
759	Monsters vs Aliens: Mutant Pumpkins from Outer Space
760	11:14
761	Sherlock: The Abominable Bride
762	Uncommon Valor
763	Presenting Lily Mars
764	Armored
765	Surviving Picasso
766	Randy Rides Alone
767	To agori troei to fagito tou pouliou
768	Win Win
769	Then Came You
770	Mildred Pierce
771	Al Franken: God Spoke
772	Shakespeare-Wallah
773	Edward Scissorhands
774	Brawl in Cell Block 99
775	London Paris New York
776	Freejack
777	Prancer
778	Rustlers' Rhapsody
779	Sono stato un agente C.I.A.
780	Sune på bilsemester
781	Hadashi no Gen 2
782	Inherit the Wind
783	Moulin Rouge
784	Lasa y Zabala
785	Blood Runs Cold
786	Mlijecni put
787	It! The Terror from Beyond Space
788	Norbit
789	Six of a Kind
790	Låt den rätte komma in
791	Zeitgeist: Addendum
792	The Grotesque
793	Rent
794	All the Way
795	No Country for Old Men
796	Generation Um...
797	American Scary
798	Idiots and Angels
799	The ABC Murders
800	Foreign Student
801	Dracula: Prince of Darkness
802	Catch Me If You Can
803	Berberian Sound Studio
804	From Time to Time
805	Beyond Re-Animator
806	Kokkinos drakos
807	Crazy Sexy Cancer
808	Alcina
809	99 francs
810	Mondo Topless
811	Motorama
812	Things Change
813	I Love Your Work
814	Nothing
815	The Vow
816	Journeys with George
817	"Hawaii, Oslo"
818	Sami swoi
819	A Scanner Darkly
820	Eliza Graves
821	One Chance
822	Kenka erejî
823	It's a Disaster
824	Departures
825	Dirty Harry
826	Shadowing the Third Man
827	I Am Dina
828	The Wolfman
829	Finding Bliss
830	Find Love
831	Mr. Brooks
832	Demolition Man
833	Series 7: The Contenders
834	Jack Goes Boating
835	Tom Jones
836	Alpha and Omega 2: A Howl-iday Adventure
837	Scott Walker: 30 Century Man
838	Blind
839	Spaceballs
840	Beyond the Gates of Splendor
841	Männer zum Knutschen
842	Anonymous
843	À l'intérieur
844	Woodstock Diary
845	Sayonara
846	Prime Suspect
847	"War, Inc."
848	Léon
849	Valentino
850	Summertime
851	Summer School
852	Sweeney Todd: The Demon Barber of Fleet Street
853	Love Happy
854	"New York, I Love You"
855	Welcome to Australia
856	Ek Tha Tiger
857	Hope Springs
858	Ghost Story
859	Satan's School for Girls
860	Pixote: A Lei do Mais Fraco
861	Letters to Juliet
862	Marvel One-Shot: Item 47
863	Their Finest
864	Space Odyssey: Voyage to the Planets
865	The 'High Sign'
866	Im Keller
867	One Life
868	Song hua jiang shang
869	Freddy Got Fingered
870	Hukkle
871	Love and Other Catastrophes
872	Tabu
873	Searching for Sugar Man
874	Logan
875	The Air I Breathe
876	Paradise Lost 2: Revelations
877	Road Trip: Beer Pong
878	The Biggest Bundle of Them All
879	Moonbase
880	Crac
881	Charlie Chan at the Race Track
882	Walking with Monsters
883	Denial
884	Angels Over Broadway
885	Arsenal
886	Swept from the Sea
887	Snow White and the Seven Dwarfs
888	Sliding Doors
889	Children Underground
890	Vagón fumador
891	Savior
892	The Diary of an Unknown Soldier
893	Attack on the Iron Coast
894	Speed
895	Biker Boyz
896	Billy Two Hats
897	Blondes at Work
898	Young Adult
899	Odd Man Out
900	"Tout refleurit: Pedro Costa, cinéaste"
901	Demon Seed
902	Some Like It Hot
903	It Runs in the Family
904	HealtH
905	Hamlet 2
906	Ma nuit chez Maud
907	Heckler
908	Vertical Limit
909	Cast Away
910	R.I.P.D.
911	The Rainmaker
912	The Devil's Double
913	No Time for Nuts
914	Finding Amanda
915	Criss Cross
916	The Pianist
917	Star of Midnight
918	Verbo
919	Chronicle of a Disappearance
920	Middle Men
921	Love with the Proper Stranger
922	Festival Express
923	It's Good to Be Alive
924	Free Willy 2: The Adventure Home
925	Prey
926	Copper Mountain
927	Lie with Me
928	Little Nicky
929	3 hommes et un couffin
930	Sideways
931	Osama
932	Captain America: The Winter Soldier
933	This Means War
934	L'homme mystérieux
935	V/H/S
936	The House with a Clock in its Walls
937	Lentsu
938	Sholay
939	Majhoo
940	All the Young Men
941	Blood Games
942	"Kids in the Hall: Same Guys, New Dresses"
943	Afterburn
944	Lord of Illusions
945	Cedar Rapids
946	Fun waan aai joop
947	Kiss the Bride
948	BookWars
949	In the Valley of Elah
950	Yhdeksän tapaa lähestyä Helsinkiä
951	Cesare deve morire
952	Apartment 1303 3D
953	Gerald's Game
954	Private Property
955	Post Tenebras Lux
956	Let's Be Cops
957	Ngo joh ngan gin do gwai
958	Class of Nuke 'Em High
959	Ambush
960	Fara
961	It
962	Shining Night: A Portrait of Composer Morten Lauridsen
963	Phenomenon
964	Take Me Home Tonight
965	Belle of the Nineties
966	Buried Alive
967	Julie & Julia
968	Frontline
969	Cockfighter
970	Comanche Moon
971	Efes beyahasei enosh
972	"Tom, Tom, the Piper's Son"
973	Wicker Park
974	Ni à vendre ni à louer
975	Life and Debt
976	Chihwaseon
977	Harrison Bergeron
978	Nae kkangpae gateun aein
979	GhostWatcher
980	Derek
981	"Torrente, el brazo tonto de la ley"
982	Super Fly
983	Heaven & Earth
984	"Bo Burnham: Words, Words, Words"
985	Making 'The New World'
986	Café Metropole
987	Jawbreaker
988	George and the Dragon
989	The Stoning of Soraya M.
990	Bleeder
991	Fake It So Real
992	Monsignor
993	Polly of the Circus
994	No Place to Hide
995	Falling Down
996	Requiem pour un vampire
997	Heavyweights
998	Strip Search
999	Idle Hands
1000	Frankenfish
1001	Voldemort: Origins of the Heir
1002	The Evil Dead
1003	Heaven Is for Real
1004	Mr. Holland's Opus
1005	Somers Town
1006	Blackfish
1007	Môsô dairinin
1008	It's Alive
1009	Loving
1010	Hell's Hinges
1011	Night Flight
1012	Away We Go
1013	Violette Nozière
1014	Jewel Robbery
1015	Night Crossing
1016	The Space Between Us
1017	It Felt Like Love
1018	Four Weddings and a Funeral
1019	Fire Birds
1020	Gran Torino
1021	Opportunity Knocks
1022	Theodora Goes Wild
1023	International House
1024	Tight Spot
1025	L'argent de poche
1026	Atlas Shrugged: Part II
1027	Salome's Last Dance
1028	Stalag 17
1029	Ghajini
1030	Pamietam
1031	Cheaper by the Dozen 2
1032	Father Goose
1033	Incubo sulla città contaminata
1034	Poltergeist III
1035	Chicago Massacre: Richard Speck
1036	Roma
1037	Eight Iron Men
1038	Cocoon
1039	In the Electric Mist
1040	Psyhi vathia
1041	Jalla! Jalla!
1042	The Pentagon Papers
1043	Elsker dig for evigt
1044	"Mary, Queen of Scots"
1045	McLibel
1046	12th & Delaware
1047	In the Shadow of the Moon
1048	The BFG
1049	Torn Curtain
1050	Grotesque
1051	Hold the Dark
1052	Seven Years in Tibet
1053	Ignition
1054	DEFCON: The Documentary
1055	King of California
1056	Alice et Martin
1057	Naturally Native
1058	Afghan Luke
1059	Maaginen kristalli
1060	Prowl
1061	Please Give
1062	Vincent will Meer
1063	The Scorpion King
1064	Playground
1065	Impromptu
1066	Tusk
1067	À coeur joie
1068	Iztochni piesi
1069	Cross of Iron
1070	Humble Pie
1071	Firelight
1072	Synth Britannia
1073	The Smurfs 2
1074	Da uomo a uomo
1075	Chronique d'un été (Paris 1960)
1076	Lo chiamavano Trinità...
1077	Pete Kelly's Blues
1078	Decoding the Past: Secrets of the Koran
1079	Ghost Stories
1080	Parasomnia
1081	Shopgirl
1082	24
1083	Lost in Yonkers
1084	Angels Fall
1085	The Whole Ten Yards
1086	Piñero
1087	One of Our Dinosaurs Is Missing
1088	The Hate U Give
1089	Witness to Murder
1090	Don Quixote
1091	Idiot's Delight
1092	Kriegerin
1093	Enchanted
1094	Keeping Mum
1095	Den skyldige
1096	Allied
