tconst	 titleType	 primaryTitle	 isAdult	 startYear	 endYear	 runtimeMinutes	 genres	 region	 language	IMDB rating
tt1104746	tvSeries	Det røde kapel	0	2006	\N	59	"Comedy,Documentary"	DK	\N	7.7
tt0119177	movie	Gattaca	0	1997	\N	106	"Drama,Sci-Fi,Thriller"	FI	\N	7.8
tt0076162	movie	Hausu	0	1977	\N	88	"Comedy,Horror"	TR	tr	7.4
tt0303830	movie	Casa de los babys	0	2003	\N	95	Drama	DE	\N	6.3
tt0051422	movie	Blood of the Vampire	0	1958	\N	87	"Horror,Sci-Fi"	GR	\N	5.5
tt1085382	movie	Chicago Overcoat	0	2009	\N	94	"Action,Adventure,Crime"	\N	\N	6
tt0033922	movie	Mr. & Mrs. Smith	0	1941	\N	95	"Comedy,Romance"	CZ	\N	6.4
tt0113228	movie	Grumpier Old Men	0	1995	\N	101	"Comedy,Romance"	PL	\N	6.7
tt0087015	movie	C.H.U.D.	0	1984	\N	88	"Horror,Sci-Fi"	FR	\N	5.6
tt0116601	movie	I'm Not Rappaport	0	1996	\N	135	Comedy	PT	\N	6.6
tt0069635	tvSeries	Son of the Bride	0	1973	\N	30	Comedy	GB	\N	\N
tt0576765	tvEpisode	Maudie	0	1969	\N	30	"Comedy,Family"	\N	\N	7.3
tt0309746	tvEpisode	Jules et Jim	0	1995	\N	85	\N	FR	\N	5.2
tt0117169	movie	New York Undercover Cop	0	1993	\N	93	"Action,Crime,Drama"	HU	\N	4.1
tt0000380	short	La belle au bois dormant	0	1903	\N	\N	"Drama,Fantasy,Short"	\N	\N	7.2
tt0001175	movie	La dame aux camélias	0	1912	\N	\N	"Drama,Romance"	NO	\N	5.5
tt0764267	short	Paradox	0	2004	\N	7	Short	US	\N	\N
tt0064652	movie	Medium Cool	0	1969	\N	111	Drama	SE	\N	7.3
tt0939681	movie	What Would Jesus Buy?	0	2007	\N	91	"Comedy,Documentary"	US	\N	6.4
tt0097503	movie	Hider in the House	0	1989	\N	104	Thriller	XWG	\N	5.9
tt0120539	movie	Year of the Horse	0	1997	\N	106	"Documentary,Music"	ES	\N	6.7
tt5612702	video	Lego DC Comics Superheroes: Justice League - Gotham City Breakout	0	2016	\N	78	"Action,Adventure,Animation"	PL	\N	6
tt1981107	movie	The Young and Prodigious T.S. Spivet	0	2013	\N	105	"Action,Adventure,Comedy"	\N	\N	7.1
tt11229820	short	Lemon Tree	0	2019	\N	\N	"Comedy,Short"	CA	\N	\N
tt0068692	movie	Hellyys	0	1972	\N	86	Comedy	XWW	en	5.4
tt4438848	movie	Neighbors 2: Sorority Rising	0	2016	\N	92	Comedy	IL	he	5.7
tt0881266	tvEpisode	Le journal d'une femme de chambre	0	1982	\N	85	\N	FR	\N	\N
tt0021933	movie	Guilty Hands	0	1931	\N	69	"Crime,Drama"	DK	\N	6.9
tt0060150	movie	Bariera	0	1966	\N	77	"Comedy,Drama"	PT	\N	6.9
tt0308506	movie	Like Mike	0	2002	\N	99	"Comedy,Family,Fantasy"	ES	\N	5.2
tt0108415	movie	Two Bits	0	1993	\N	\N	\N	US	\N	\N
tt0085838	movie	Lianna	0	1983	\N	110	"Drama,Romance"	IT	\N	6.7
tt0090264	movie	A View to a Kill	0	1985	\N	131	"Action,Adventure,Thriller"	IT	\N	6.4
tt0034504	movie	Bells of Capistrano	0	1942	\N	78	"Action,Comedy,Drama"	\N	\N	6.6
tt1263736	movie	33 sceny z zycia	0	2008	\N	100	Drama	FR	\N	6.3
tt0065579	movie	Cotton Comes to Harlem	0	1970	\N	97	"Action,Comedy,Crime"	JP	\N	6.5
tt0233651	movie	Englar alheimsins	0	2000	\N	100	"Biography,Drama"	SE	\N	7.6
tt0238059	video	Bad Karma	0	1991	\N	36	"Horror,Short"	GB	\N	5.1
tt0106356	tvMovie	Barbarians at the Gate	0	1993	\N	107	"Biography,Comedy,Drama"	PL	\N	7.2
tt0143499	video	Lucky Break	1	1991	\N	\N	Adult	US	\N	7.1
tt0054354	movie	Sunrise at Campobello	0	1960	\N	144	"Biography,Drama"	PT	\N	7
tt4302938	movie	Kubo and the Two Strings	0	2016	\N	101	"Action,Adventure,Animation"	PT	\N	7.8
tt5460276	movie	Kaabil	0	2017	\N	139	"Action,Drama,Thriller"	IN	ta	7.1
tt0100053	movie	Loose Cannons	0	1990	\N	94	"Action,Comedy,Crime"	NO	\N	4.9
tt0082476	movie	Green Ice	0	1981	\N	116	"Adventure,Romance"	FR	\N	5.6
tt5342692	tvEpisode	Rurouni Kenshin	0	2016	\N	19	Comedy	\N	\N	\N
tt0970411	movie	City of Ember	0	2008	\N	90	"Adventure,Family,Fantasy"	IT	\N	6.5
tt1871236	movie	Blutzbrüdaz	0	2011	\N	87	"Comedy,Music"	RU	\N	6.1
tt0459666	movie	Zui hao de shi guang	0	2005	\N	132	"Drama,Romance"	XWW	en	7
tt1539313	video	Lunopolis	0	2010	\N	98	Sci-Fi	RU	\N	6.6
tt0056601	movie	The Brain	0	1962	\N	83	"Crime,Drama,Horror"	CA	en	5.2
tt0029850	movie	Aleksandr Nevskiy	0	1938	\N	112	"Action,Biography,Drama"	CA	fr	7.6
tt0026013	movie	You Belong to Me	0	1934	\N	67	Drama	BR	\N	6.8
tt0169636	tvMovie	Bonjour tristesse	0	1995	\N	91	Drama	FR	\N	6.5
tt0118692	video	Beauty and the Beast: The Enchanted Christmas	0	1997	\N	72	"Animation,Family,Fantasy"	BR	\N	6.1
tt0009544	movie	Revenge	0	1918	\N	70	Western	DK	\N	7.1
tt1100051	movie	Bereavement	0	2010	\N	103	"Crime,Horror,Thriller"	DE	\N	5.1
tt0118301	movie	Dead Man on Campus	0	1998	\N	96	Comedy	FR	\N	6.1
tt0001683	short	Home Sweet Home	0	1911	\N	\N	"Drama,Short"	US	\N	\N
tt0184424	video	Eddie Izzard: Dress to Kill	0	1999	\N	115	"Comedy,Documentary"	GB	\N	8.7
tt6436726	movie	7500	0	2019	\N	92	"Drama,Thriller"	\N	\N	7.2
tt0846654	tvEpisode	Pulling Strings	0	2006	\N	\N	Drama	\N	\N	8.9
